objectid,objecttype,attributeid,attributetype
chndm_1920-36-170,object,1800s,date
chndm_1920-36-170,object,1810s,date
chndm_1920-36-179,object,1780s,date
chndm_1920-36-179,object,1790s,date
chndm_1920-36-218,object,1780s,date
chndm_1920-36-218,object,1790s,date
chndm_1920-36-295,object,1720s,date
chndm_1920-36-295,object,1800s,date
chndm_1920-36-318,object,1780s,date
chndm_1920-36-319,object,1780s,date
chndm_1920-36-319,object,1790s,date
chndm_1920-36-43,object,1770s,date
chndm_1920-36-43,object,1790s,date
chndm_1921-22-233,object,1780s,date
chndm_1921-22-233,object,1790s,date
chndm_1921-22-286,object,1750s,date
chndm_1921-22-286,object,1770s,date
chndm_1921-22-348,object,1770s,date
chndm_1921-22-359,object,1770s,date
chndm_1921-22-38,object,1700s,date
chndm_1921-22-38,object,1800s,date
chndm_1921-41-29,object,1770s,date
chndm_1921-41-29,object,1800s,date
chndm_1921-6-11-1,object,1770s,date
chndm_1921-6-11-1,object,1780s,date
chndm_1921-6-123-1,object,1650s,date
chndm_1921-6-123-1,object,1660s,date
chndm_1921-6-147-3,object,1640s,date
chndm_1921-6-147-3,object,1650s,date
chndm_1921-6-205,object,1750s,date
chndm_1921-6-212-41,object,1690s,date
chndm_1921-6-212-41,object,1750s,date
chndm_1921-6-212-66,object,1740s,date
chndm_1921-6-212-7-a,object,1740s,date
chndm_1921-6-213-7,object,1740s,date
chndm_1921-6-231-13,object,1730s,date
chndm_1921-6-231-27,object,1700s,date
chndm_1921-6-231-27,object,1770s,date
chndm_1921-6-281-33,object,1730s,date
chndm_1921-6-282-17,object,1730s,date
chndm_1921-6-282-17,object,1740s,date
chndm_1921-6-282-62,object,1690s,date
chndm_1921-6-282-62,object,1760s,date
chndm_1921-6-282-74,object,1690s,date
chndm_1921-6-282-74,object,1760s,date
chndm_1921-6-285-38,object,1740s,date
chndm_1921-6-285-84,object,1740s,date
chndm_1921-6-285-95,object,1740s,date
chndm_1921-6-313-80,object,1740s,date
chndm_1921-6-326-25,object,1740s,date
chndm_1921-6-40-4,object,1660s,date
chndm_1921-6-40-4,object,1670s,date
chndm_1921-6-42-8,object,1770s,date
chndm_1921-6-450-154,object,1750s,date
chndm_1921-6-450-36,object,1750s,date
chndm_1921-6-469-6,object,1580s,date
